ID,IMDB_ID,Budget,Production Companies,Production Countries,Revenue,Runtime,Director
999158,,0,['Island Rebel Media'],['St. Vincent and the Grenadines'],0,4,Akley Olton
999166,tt14747208,0,[],[],0,75,Crystal Ellis
999170,tt19118100,0,[],[],0,10,Wesley Quinn
999181,,0,['BecxCo'],['Jamaica'],0,15,Rebecca Williams
999184,,0,['Mprojekts Creative Group'],[],0,11,Meschida Philip
999204,,0,[],['United Kingdom'],0,14,Zara Meerza
999205,tt8889818,0,"['Saban Films', 'Voltage Pictures']",[],0,94,Declan Whitebloom
999214,,0,['Nikel'],[],0,0,Juanita
999216,,0,[],[],0,6,Sam Campbell
999221,tt21211356,0,"['Escuela Nacional De Artes Cinematográficas', 'Universidad Nacional Autónoma de México']",['Mexico'],0,16,Oscar Sarmiento Schultz
999237,tt21045434,0,"['Manor House Entertainment', 'HartBeat Productions', '3 Arts Entertainment', 'Marobru Productions']",['United States of America'],0,78,Malakai
999239,tt21102534,0,[],[],0,102,Anthony J. Cortese
999261,,2000,[],[],0,5,Austin Leih
999262,tt21332486,0,['Mercury Studios'],['United Kingdom'],0,88,Joss Crowley
999267,,0,[],['Brazil'],0,11,João Pires
999278,tt15307448,250000,[],['Italy'],0,89,Vincenzo Ricchiuto
999283,tt15445790,0,['Comedy Dynamics'],[],0,57,Mark Gagnon
999291,,0,['Cavídeo Produções'],[],0,0,Neville d'Almeida
999293,,0,[],[],0,62,Thomas Rubino
999298,,0,"['St. Jude Filmes', 'Dantalion Productions']",[],0,0,Weslei Mata
999303,,0,[],['Germany'],0,0,Max Zähle
999308,tt11198146,0,['CRA Entertainment'],['United States of America'],0,125,David J. Espinosa
999309,,0,['BBC Music'],['United Kingdom'],0,71,
999310,,0,[],['China'],0,108,Qian Wang
999311,,0,['BBC Music'],['United Kingdom'],0,56,
999313,,0,['Sheridan College'],['Canada'],0,4,Luhan Wang
999321,,0,[],[],0,9,Brian Lagerstrom
999324,,0,['All Things Comedy'],['United States of America'],0,54,
999333,tt23469318,0,[],['Germany'],0,88,Piotr J. Lewandowski
999337,,200,['Garúa Cine'],['Argentina'],0,18,Ignacio Lopardo
999342,tt22802220,0,[],"['France', 'Iran']",0,71,Yaser Talebi
999347,,0,[],['Australia'],0,15,Beau Miles
999349,tt10141678,0,"['Firestick Films', 'Scuti Productions']",[],0,71,Thibul Nettle
999355,tt20197130,0,[],[],0,0,Aguinaldo Flor
999361,tt21230286,0,[],[],0,30,Margaret Paul
999363,tt1116847,0,[],['Iran'],0,117,
999368,tt21065336,0,"['ESPN', 'ESPN Films', 'Astonish Entertainment', 'The Montag Group']",['United States of America'],0,80,Nick Nanton
999369,,0,[],[],0,60,
999371,,0,[],[],0,0,Nastasia Wildi
999374,,200,['Garúa Cine'],['Argentina'],0,8,Ignacio Lopardo
999376,,0,['Garúa Cine'],['Argentina'],0,4,Nerina de León Tonno
999377,,0,['Garúa Cine'],['Argentina'],0,4,Ignacio Lopardo
999386,tt3098768,0,[],['United States of America'],0,71,Jason Von Godi
999396,,0,['Six bananas tied ina knot'],[],0,5,Adam Boland
999408,,0,['KAMITSUBAKI STUDIO'],['Japan'],0,160,
999409,,0,['KAMITSUBAKI STUDIO'],[],0,100,
999410,tt21238042,0,[],['Israel'],0,87,Shiri Nevo Fridental
999429,,0,[],['China'],0,81,Qi Luo
999447,tt20854380,0,[],[],0,22,Shane Devon
999455,tt25434562,0,['Chandrababu Film Factory'],['India'],0,149,Shaarath
999462,tt21048094,0,"['Playtime Movies', 'Sábado Películas', 'El Terrat', 'TV3', 'Filmin', 'TVE']",['Spain'],0,93,Kike Maíllo
999489,,500,['Somewhere Upstate Productions'],['United States of America'],0,10,Samuel LaPointe
999495,,0,[],['Brazil'],0,0,Felipe Trema
999500,tt19768068,0,[],['India'],0,0,
999506,,0,[],['Brazil'],0,0,Natália Polla
999512,tt15675222,0,[],['Israel'],0,85,Eitan Anner
999531,,0,['Film Company Mechta'],['Russia'],0,107,Irina Gobozashvili
999548,tt15762060,0,[],[],0,8,Rebecca Benzell
999559,,0,['Donal Productions'],['Ireland'],0,0,Donal Mooney
999571,,0,[],['China'],0,68,Chen Cheng
999577,tt21238352,0,"['Inca Point Productions', 'Mandel Films']",['United Kingdom'],0,12,Theo Brown
999583,tt20783640,0,[],['United Kingdom'],0,0,
999592,tt20597468,0,['Studio Trite'],['Russia'],0,0,Alexey Nuzhnyy
